name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary;average_salary
Data Analyst;XTB;Mid;['Data', 'Python', 'SQL', 'Data base', 'Polski', 'Angielski'];['Microsoft Azure', 'Databricks', 'Spark', 'PySpark'];Praca zdalna;data analyst;11760.0;18480.0;PLN;;15120.0
Data Analyst CRM;Connectis_;Junior;['Data', 'CRM', 'Python', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data analyst;17000.0;21000.0;PLN;;19000.0
Customer Master Data Senior Analyst;Devire Sp. z o.o.;Senior;['Data', 'T-SQL', 'SAP', 'Excel', 'Communication skills', 'SQL', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;25200.0;33600.0;PLN;;29400.0
Data analyst;Uncapped;Mid;['Data', 'SQL', 'Problem solving', 'Critical thinking', 'Communication skills', 'Angielski (B2)', 'Polski'];['Python', 'BigQuery', 'Proactivity', 'GCP'];Warszawa;data analyst;10000.0;16000.0;PLN;;13000.0
Senior Data Analyst;Brainly Sp. z o.o.;Senior;['Data', 'SQL', 'Google Analytics', 'Tableau', 'BigQuery', 'A/B Testing', 'Angielski'];['Python', 'Google Tag Manager', 'Amplitude', 'Snowflake'];Praca zdalna;data analyst;17000.0;23000.0;PLN;;20000.0
BI Data Analyst - Remote;Link Group;Mid;['Business Intelligence', 'Tableau', 'ETL', 'SQL', 'Snowflake', 'Redshift', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;10080.0;11760.0;PLN;;10920.0
Senior Product Data Analyst (Maternity Cover);Beekeeper AG;Senior;['Data', 'SQL', 'R', 'Python', 'Tableau', 'Looker', 'Shiny', 'Angielski'];['Pendo', 'Mixpanel'];Kraków;data analyst;21000.0;27500.0;PLN;;24250.0
Senior Expert - Management Reporting & Analytics;HSBC Technology Poland;Senior;['Finanse', 'Accounting', 'Management Reporting', 'Reporting', 'Audit', 'Analytical skills', 'Excel', 'PowerPoint', 'Angielski (C1)'];['CIMA', 'ACCA'];Kraków;data analyst;;;;Brak widełki;
Mid Analityk Danych / Analityczka Danych;Alterdata.io sp. z o.o.;Mid;['Data', 'SQL', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'GCP', 'PowerBI', 'Tableau', 'Data analytics', 'Data', 'Google Analytics'];Praca zdalna;data analyst;14000.0;21000.0;PLN;;17500.0
Analityk baz danych Oracle;in4ge sp. z o.o.;Junior;['Business Intelligence', 'Oracle', 'SQL', 'Oracle Business Intelligence', 'BI', 'Polski', 'Angielski'];Brak;Praca zdalna;data analyst;;;;Brak widełki;
Junior Analityk Danych / Analityczka Danych;Alterdata.io sp. z o.o.;Junior;['Data', 'SQL', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'GCP', 'PowerBI', 'Tableau', 'Data analytics', 'Data', 'Google Analytics'];Praca zdalna;data analyst;7000.0;11000.0;PLN;;9000.0
Junior Oracle Business Analyst;in4ge sp. z o.o.;Junior;['Business Analysis', 'Oracle', 'Oracle Business Intelligence', 'SQL', 'Polski', 'Angielski'];Brak;Praca zdalna;data analyst;;;;Brak widełki;
Regular Product Owner/Busines Analyst;Unravel;Mid;['Business Analysis', 'BSc', 'MSc', 'Degree', 'Angielski'];Brak;Praca zdalna;data analyst;14280.0;18480.0;PLN;;16380.0
Senior Data Scientist (NLP and Computer Vision);Brainly Sp. z o.o.;Senior;['AI', 'Python', 'NLP', 'Deep learning', 'Computer vision', 'AWS SageMaker', 'Huggingface', 'Angielski'];['AWS', 'LLMs'];Praca zdalna;data scientist;26000.0;35000.0;PLN;;30500.0
Junior Data Scientist;Ringier Axel Springer Tech;Junior;['Data', 'Python', 'Data science', 'SQL', 'R', 'Angielski (B2)'];['AWS', 'PyTorch'];Warszawa;data scientist;7100.0;11900.0;PLN;;9500.0
Lead/Senior Data Scientist;Addepto;Senior;['AI', 'Python', 'SQL', 'Machine Learning', 'NLP', 'Cloud', 'Git', 'consulting', 'Data science', 'Deep learning', 'Angielski (C1)', 'Polski'];['TensorFlow', 'Spark', 'Kubernetes', 'MLflow', 'CI/CD', 'BI', 'AWS', 'Computer vision', 'pandas', 'scikit-learn', 'Keras', 'PyTorch', 'Docker', 'GenAI', 'LLM'];Praca zdalna;data scientist;19320.0;28560.0;PLN;;23940.0
Data Scientist;Connectis_;Mid;['Data', 'Python', 'R', 'SQL', 'Git', 'Machine learning', 'Angielski (B2)'];['MLOps', 'Azure Databricks'];Praca zdalna;data scientist;18000.0;22000.0;PLN;;20000.0
Senior Data Scientist;AVENGA;Senior;['Data', 'RAG pipelines', 'Python', 'NLP', 'Deep learning', 'PyTorch', 'large language model architectures', 'Machine learning', 'AI', 'Angielski (B2)', 'Polski (NATIVE)'];Brak;Praca zdalna;data scientist;24360.0;27720.0;PLN;;26040.0
Data Scientist/ML Engineer;able.tech;Senior;['Data', 'Data science', 'Degree', 'Machnine Learning', 'Python', 'Data analysis', 'SQL', 'Angielski (C1)'];['Azure Data Lake', 'Statistics', 'Data pipelines'];Praca zdalna;data scientist;22000.0;32000.0;PLN;;27000.0
Senior Data Scientist (NLP & LLMs);Onwelo Sp. z o.o.;Senior;['AI', 'Python', 'GenAI', 'Azure', 'LangChain', 'LlamaIndex', 'OpenAI', 'Angielski (B2)'];Brak;Praca zdalna;data scientist;21000.0;27300.0;PLN;;24150.0
Transportation Data Scientist;Jacobs;Senior;['Data', 'BS', 'Data analysis', 'Data visualization', 'Tableau', 'SQL', 'Relational database', 'Machine learning', 'Forecasting', 'Communication skills', 'Angielski', 'Polski'];Brak;['Wrocław', 'Lublin', 'Rzeszów', 'Warszawa', 'Katowice', 'Kraków', 'Poznań'];data scientist;;;;Brak widełki;
Lead/Senior Data Scientist (NLP);Sigmoidal;Senior;['Data', 'AI', 'Python', 'Machine learning', 'Data science', 'AWS', 'NLP', 'Angielski (B2)', 'Polski (B2)'];Brak;Praca zdalna;data scientist;25000.0;35000.0;PLN;;30000.0
Senior Data Scientist;Ringier Axel Springer Tech;Senior;['Data', 'Python', 'Data science', 'SQL', 'Angielski (B2)'];['AWS'];['Kraków', 'Warszawa'];data scientist;;;;Brak widełki;
Middle Data Scientist;Godel Technologies Europe;Mid;['Data', 'Data science', 'Deep learning', 'Natural language processing', 'Python', 'scikit-learn', 'Keras', 'Machine learning', 'SQL', 'Angielski (B1)'];['MLOps', 'Cloud platform'];['Wrocław', 'Gdańsk', 'Warszawa', 'Łódź', 'Białystok'];data scientist;16000.0;23000.0;PLN;;19500.0
Senior Data Scientist;hubQuest;Senior;['AI', 'Python', 'Machine Learning', 'Data science', 'Statistics', 'scikit-learn', 'pandas', 'Matplotlib', 'SciPy', 'Angielski (C1)'];['Docker', 'Kubernetes', 'Azure'];Praca zdalna;data scientist;28500.0;37000.0;PLN;;32750.0
Data Scientist (Marketing Mix Modeling);Lingaro;Senior;['Data', 'Python', 'Machnine Learning', 'SQL', 'Machine learning', 'Requirements gathering', 'Angielski (C1)'];['Scala', 'Big Data', 'Forecasting'];Praca zdalna;data scientist;15120.0;25200.0;PLN;;20160.0
Data Scientist;Connectis_;Mid;['Data', 'Python', '4GL', 'SQL', 'Machine learning', 'Polski (NATIVE)'];['MLOps'];Warszawa;data scientist;18000.0;23000.0;PLN;;20500.0
Senior Data Scientist;Devire;Senior;['Data', 'Data modelling', 'Use cases', 'Python', 'Azure', 'Communication skills', 'Power BI', 'Polski', 'Angielski'];Brak;Praca zdalna;data scientist;;;;Brak widełki;
Senior Data Scientist (NLP and LLMs);Brainly Sp. z o.o.;Senior;['AI', 'Python', 'NLP', 'Deep learning', 'transformers', 'AWS', 'Angielski'];['LLMs'];Praca zdalna;data scientist;26000.0;35000.0;PLN;;30500.0
Data Scientist;Shelf;Senior;['Data', 'AI', 'Data analytics', 'NLP', 'Python', 'SQL', 'NoSQL', 'TensorFlow', 'PyTorch', 'PhD', 'Machine learning', 'Machine Learning', 'GitHub', 'Angielski (B2)'];['Degree', 'Amazon ML Services', 'autonomous agents development'];Praca zdalna;data scientist;23748.0;31664.0;PLN;;27706.0
AVP, Financial Engineering (AI & Data Science);HSBC Technology Poland;Senior;['AI', 'Data science', 'data preparation', 'Large Language Models', 'Python', 'Object-oriented programming', 'User interface', 'GitHub', 'Agile', 'Source control', 'branching concepts', 'Angielski (C1)'];['UI coding', 'Node.js', 'React', 'Angular', 'Project management'];Kraków;data scientist;;;;Brak widełki;
Data Engineer - Data Science Hub;Allegro;Mid;['Data', 'SQL', 'Python', 'DevOps', 'CI/CD', 'REST API', 'Angielski (B2)', 'Polski (B2)'];['GitHub', 'Apache Airflow', 'Communication skills', 'Spark', 'Google cloud platform', 'Keboola'];Warszawa;data scientist;14200.0;19690.0;PLN;;16945.0
Data Science;SquareOne;Mid;['Data', 'Python', 'OpenAI', 'Polski', 'Angielski'];Brak;Praca zdalna;data scientist;16800.0;21840.0;PLN;;19320.0
Mid Data Engineer;Alterdata.io sp. z o.o.;Mid;['Data', 'SQL', 'Python', 'Problem solving', 'Git', 'Communication skills', 'Data Engineering', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'AWS', 'Google Cloud Platform', 'Airflow', 'Spark', 'Snowflake', 'DBT', 'BigQuery', 'Azure Data Factory', 'ETL', 'Databricks'];Praca zdalna;data engineer;14000.0;21000.0;PLN;;17500.0
Mid Data Engineer / Python Developer;Alterdata.io sp. z o.o.;Mid;['Data', 'Python', 'SQL', 'Problem solving', 'Git', 'Communication skills', 'Data Engineering', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'AWS', 'Google Cloud Platform', 'Airflow', 'Spark', 'Snowflake', 'DBT', 'BigQuery', 'Azure Data Factory', 'ETL', 'Databricks', 'Docker', 'Container'];Praca zdalna;data engineer;14000.0;21000.0;PLN;;17500.0
Data Engineer;AVENGA;Senior;['Data', 'Python', 'Databricks', 'Azure Data Factory', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;20100.0;26800.0;PLN;;23450.0
Data Platform Engineer/Consultant;Elitmind;Mid;['Business Intelligence', 'English', 'SQL', 'ETL', 'Azure', 'Polski', 'Angielski (B2)'];['Databricks', 'Snowflake', 'Python', 'Data Modelling skills'];Praca zdalna;data engineer;13944.0;19992.0;PLN;;16968.0
