name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary
Senior Data Analyst;Brainly Sp. z o.o.;Senior;['Data', 'SQL', 'Google Analytics', 'Tableau', 'BigQuery', 'A/B Testing', 'Angielski'];['Python', 'Google Tag Manager', 'Amplitude', 'Snowflake'];Praca zdalna;data analyst;17000;23000;PLN;
BI Data Analyst - Remote;Link Group;Mid;['Business Intelligence', 'Tableau', 'ETL', 'SQL', 'Snowflake', 'Redshift', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;10080;11760;PLN;
Senior Product Data Analyst (Maternity Cover);Beekeeper AG;Senior;['Data', 'SQL', 'R', 'Python', 'Tableau', 'Looker', 'Shiny', 'Angielski'];['Pendo', 'Mixpanel'];Kraków;data analyst;21000;27500;PLN;
Data analyst;Uncapped;Mid;['Data', 'SQL', 'Problem solving', 'Critical thinking', 'Communication skills', 'Angielski (B2)', 'Polski'];['Python', 'BigQuery', 'Proactivity', 'GCP'];Warszawa;data analyst;10000;16000;PLN;
Data Analyst CRM;Connectis_;Junior;['Data', 'CRM', 'Python', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data analyst;17000;21000;PLN;
Customer Master Data Senior Analyst;Devire Sp. z o.o.;Senior;['Data', 'T-SQL', 'SAP', 'Excel', 'Communication skills', 'SQL', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;25200;33600;PLN;
Data Analyst;SymphonyAI;Mid;['Data', 'Python', 'SQL', 'ETL', 'Angielski (B2)'];['Dask', 'Polars'];Poznań;data analyst;;;;Brak widełki
Senior Data Scientist (NLP and LLMs);Brainly Sp. z o.o.;Senior;['AI', 'Python', 'NLP', 'Deep learning', 'transformers', 'AWS', 'Angielski'];['LLMs'];Praca zdalna;data scientist;26000;35000;PLN;
Senior Data Scientist (NLP & LLMs);Onwelo Sp. z o.o.;Senior;['AI', 'Python', 'GenAI', 'Azure', 'LangChain', 'LlamaIndex', 'OpenAI', 'Angielski (B2)'];Brak;Praca zdalna;data scientist;21000;27300;PLN;
Data Scientist;Shelf;Senior;['Data', 'AI', 'Data analytics', 'NLP', 'Python', 'SQL', 'NoSQL', 'TensorFlow', 'PyTorch', 'PhD', 'Machine learning', 'Machine Learning', 'GitHub', 'Angielski (B2)'];['Degree', 'Amazon ML Services', 'autonomous agents development'];Praca zdalna;data scientist;24225;32300;PLN;
Middle Data Scientist;Godel Technologies Europe;Mid;['Data', 'Data science', 'Deep learning', 'Natural language processing', 'Python', 'scikit-learn', 'Keras', 'Machine learning', 'SQL', 'Angielski (B1)'];['MLOps', 'Cloud platform'];['Warszawa', 'Łódź', 'Białystok', 'Gdańsk', 'Wrocław'];data scientist;16000;23000;PLN;
Data Scientist (DS/Operations Research Experience);Lingaro;Mid;['Data', 'Python', 'SQL', 'Azure', 'Angielski (C1)'];['GCP', 'Machine learning', 'Kanban', 'Requirements gathering', 'Communication skills', 'Spark', 'PySpark', 'AI'];Praca zdalna;data scientist;16800;23520;PLN;
Data Scientist;Connectis_;Mid;['Data', 'Python', '4GL', 'SQL', 'Machine learning', 'Polski (NATIVE)'];['MLOps'];Warszawa;data scientist;18000;23000;PLN;
Senior Data Scientist;Link Group;Senior;['Data', 'Python', 'Data science', 'Machine learning', 'SQL', 'Git', 'Docker', 'Java', 'C', 'C++', 'Scala', 'Angielski (C1)'];['Hadoop'];Warszawa;data scientist;20160;23520;PLN;
Senior Data Scientist;Devire;Senior;['Data', 'Data modelling', 'Use cases', 'Python', 'Azure', 'Communication skills', 'Power BI', 'Polski', 'Angielski'];Brak;Praca zdalna;data scientist;;;;Brak widełki
Data Scientist;Connectis_;Mid;['Data', 'Python', 'R', 'SQL', 'Git', 'Machine learning', 'Angielski (B2)'];['MLOps', 'Azure Databricks'];Praca zdalna;data scientist;18000;22000;PLN;
Senior Data Scientist z Data Analytics;eConsulting;Mid;['Data', 'Python', 'AWS', 'R', 'SQL', 'Angielski (C1)'];Brak;Praca zdalna;data scientist;;;;Brak widełki
Data Scientist (Forecasting);Lingaro;Mid;['Data', 'Python', 'SQL', 'Azure', 'Data engineering', 'Machine learning', 'Kanban', 'Communication skills', 'Angielski (C1)'];['PySpark', 'Spark', 'OOP', 'AI', 'AWS'];Praca zdalna;data scientist;16800;23520;PLN;
Data Scientist;Lingaro;Senior;['Data', 'Python', 'Optimalization', 'Azure', 'Angielski (B2)'];['SQL', 'Team management'];Praca zdalna;data scientist;21840;25200;PLN;
Lead/Senior Data Scientist (NLP);Sigmoidal;Senior;['Data', 'AI', 'Python', 'Machine learning', 'Data science', 'AWS', 'NLP', 'Angielski (B2)', 'Polski (B2)'];Brak;Praca zdalna;data scientist;25000;35000;PLN;
Data Scientist (Marketing Mix Modeling);Lingaro;Senior;['Data', 'Python', 'Machnine Learning', 'SQL', 'Machine learning', 'Requirements gathering', 'Angielski (C1)'];['Scala', 'Big Data', 'Forecasting'];Praca zdalna;data scientist;15120;25200;PLN;
Senior Data Scientist;hubQuest;Senior;['AI', 'Python', 'Machine Learning', 'Data science', 'Statistics', 'scikit-learn', 'pandas', 'Matplotlib', 'SciPy', 'Angielski (C1)'];['Docker', 'Kubernetes', 'Azure'];Praca zdalna;data scientist;28500;37000;PLN;
Junior Fullstack Software Engineer;Unit8 SA;Junior;['Fullstack', 'React', 'Team player', 'Communication skills', 'Python', 'Cloud', 'Angielski (C1)'];['typescript', 'Python', 'Java', 'Web applications', 'AWS'];Kraków;data scientist;10000;12000;PLN;
Data Engineer (AWS);Onwelo S.A.;Mid;['Business Intelligence', 'Python', 'REST', 'Docker', 'SQL', 'AWS', 'AWS EC2', 'Redshift', 'DWH', 'BI', 'Shell', 'Bash', 'Spark', 'AWS Cloud', 'PowerBI', 'Tableau', 'Angielski', 'Polski'];Brak;Praca zdalna;data engineer;15750;17850;PLN;
Lead Data Engineer;N-iX;Expert;['Data', 'GCP', 'BigQuery', 'Microservices architecture', 'Python', 'Docker', 'SQL', 'Airflow', 'Angielski (B2)'];['Kubernetes', 'TypeScript', 'NestJS'];Praca zdalna;data engineer;25436;31088;PLN;
Data Engineer;hubQuest;Mid;['Data', 'Python', 'PySpark', 'Azure', 'SQL', 'Databricks', 'Angielski (C1)', 'Polski (C1)'];['Terraform', 'dbt'];Praca zdalna;data engineer;25000;30000;PLN;
Master Data Management Engineer;Devire Sp. z o.o.;Senior;['Data', 'Data management', 'Informatica', 'MDM', 'Informatica PowerCenter', 'ETL', 'SQL', 'Relational database', 'Communication skills', 'Degree', 'Angielski (B2)', 'Polski'];Brak;Praca zdalna;data engineer;25200;30240;PLN;
Data Platform Engineer/Consultant - Team Leader;Elitmind;Mid;['Data', 'SQL Server', 'SSIS', 'ETL', 'Data warehouse', 'Team management', 'SQL', 'Angielski (B2)'];['Python', 'Snowflake', 'Databricks', 'Azure'];Praca zdalna;data engineer;17976;24024;PLN;
Data Engineer;SquareOne;Mid;['Data', 'Python', 'Google Cloud Platform', 'SQL', 'ETL', 'Apache Airflow', 'AWS', 'Azure', 'Flask', 'Snowflake', 'Angielski (B2)', 'Polski (B2)'];['Jenkins', 'Kubernetes', 'Docker', 'Google Data Studio', 'Grafana'];Praca zdalna;data engineer;19000;25000;PLN;
Data Engineer;ITDS;Senior;['Data', 'Python', 'Scala', 'Unix', 'Linux', 'Hadoop', 'Apache Hadoop', 'Spark', 'Yarn', 'Hive', 'SQL', 'Elasticsearch', 'Git', 'GitHub', 'Ansible', 'Jenkins', 'Shell', 'Data modeling', 'SDLC', 'Angielski'];['Cloud', 'Design Patterns', 'Communication skills', 'REST API', 'Java', 'Spring Boot'];Kraków;data engineer;19300;26040;PLN;
Data Curator for AI (Data Engineer);Intergraph Polska Sp. z o.o.;Senior;['AI', 'Data analysis', 'Angielski (B2)'];['Phyton', 'Cloud', 'Machine Learning'];Łódź;data engineer;;;;Brak widełki
Remote Senior Data Engineer;Varwise;Senior;['Data', 'Spark', 'AWS', 'Linux', 'NoSQL', 'SQL', 'Kafka', 'Java', 'Scala', 'AWS Lambda', 'Glue', 'Athena', 'Cassandra', 'Neo4j', 'Databricks', 'PySpark', 'Angielski (C2)'];['Kinesis', 'Airflow', 'Jenkins', 'Datadog', 'Python', 'TensorFlow'];Praca zdalna;data engineer;30281;40375;PLN;
Senior Data Engineer;Capgemini Polska Sp. z o.o.;Senior;['Data', 'Data mining', 'Data analysis', 'SQL', 'PostgreSQL', 'MySQL', 'Python', 'NumPy', 'scikit-learn', 'pandas', 'Functional programming', 'Big data', 'Spark', 'Hadoop', 'Databricks', 'Snowflake', 'Airflow', 'Communication skills', 'Angielski'];['Data visualization', 'Kibana', 'Grafana'];['Warszawa', 'Katowice', 'Opole', 'Poznań', 'Lublin', 'Gdańsk', 'Wrocław'];data engineer;;;;Brak widełki
Senior Big Data Engineer (Python);Capgemini Polska Sp. z o.o.;Senior;['Data', 'Python', 'SQL', 'ETL', 'AWS', 'DBMS platforms', 'Angielski'];Brak;['Warszawa', 'Katowice', 'Opole', 'Kraków', 'Poznań', 'Lublin', 'Gdańsk', 'Wrocław'];data engineer;;;;Brak widełki
Mid Big Data Engineer;Capco Poland;Mid;['Data', 'Big data', 'Scala', 'python', 'Angielski (B2)', 'Polski (B1)'];['Kafka', 'Degree', 'SQL', 'Spark', 'Hadoop', 'OOP', 'GCP'];Praca zdalna;data engineer;20160;25200;PLN;
Professional Data Engineer;AVENGA;Mid;['Data', 'Snowflake', 'ETL', 'Python', 'SQL', 'ServiceNow', 'Angielski', 'Polski'];Brak;Praca zdalna;data engineer;130;145;PLN;
Senior Data Engineer;Globallogic;Senior;['Data', 'Python', 'Java', 'Scala', 'SQL', 'Terraform', 'AWS', 'Git', 'Docker', 'Airflow', 'Kubernetes', 'Angielski'];['Data build tool', 'Databricks'];Praca zdalna;data engineer;;;;Brak widełki
Data Engineer;AVENGA;Mid;['Data', 'ETL', 'SQL', 'Python', 'Angielski (B2)'];Brak;Warszawa;data engineer;;;;Brak widełki
Principal Data Engineer;Digital Hub Warsaw at Bayer;Senior;['Data', 'Golang', 'Kafka', 'REST API', 'Cloud', 'CI/CD', 'Git', 'Kubernetes', 'SQL', 'NoSQL', 'Angielski (NATIVE)'];['Terraform', 'Machine learning', 'Python'];Warszawa;data engineer;32000;42000;PLN;
Data Engineer;7N;Senior;['Data', 'Python', 'SQL', 'Power BI', 'CA', 'Angielski'];['CI/CD', 'Kubernetes', 'GCP', 'Airflow', 'Workato', 'dbt', 'Snowflake', 'Fivetran'];Warszawa;data engineer;26880;33600;PLN;
Data Engineer (Fulfillment);Tesco Technology;Mid;['Data', 'Hadoop', 'Scala', 'Kafka', 'Kubernetes', 'Spark', 'Angielski (B2)'];['Spark Streaming', 'Hive', 'Functional programming'];Kraków;data engineer;20000;30000;PLN;
Data Engineer;Harvey Nash Technology;Mid;['Data', 'Data engineering', 'Hive', 'Spark', 'Python', 'SQL', 'Angielski'];['Snowflake', 'AWS', 'Flask', 'REST API'];Warszawa;data engineer;18000;24000;PLN;
Senior Data Engineer (Finance Team);Falck Digital Technology Poland Sp. z o.o.;Senior;['Data', 'SQL', 'Azure', 'Python', 'PySpark', 'Databricks', 'DevOps', 'Git', 'Continuous integration', 'CAN', 'Angielski'];Brak;Warszawa;data engineer;20000;25000;PLN;
Contractor Big Data Engineer;OpenNet.pl Sp. z o.o.;Senior;['Data', 'Scala', 'Python', 'Java', 'Spark', 'Apache Beam', 'GCP', 'Azure', 'AWS', 'TDD', 'CI/CD', 'Unix', 'Linux', 'Angielski (B2)'];Brak;['Warszawa', 'Kraków'];data engineer;14200;25410;PLN;
Data Engineer - Data Science Hub;Allegro;Mid;['Data', 'SQL', 'Python', 'DevOps', 'CI/CD', 'REST API', 'Angielski (B2)', 'Polski (B2)'];['GitHub', 'Apache Airflow', 'Communication skills', 'Spark', 'Google cloud platform', 'Keboola'];Warszawa;data engineer;14200;19690;PLN;
Data Engineer;Remitly Poland sp. z o.o.;Mid;['Data', 'Storage', 'Version control system', 'RDBMS', 'Angielski', 'Polski'];['Kubernetes', 'Docker'];Kraków;data engineer;20000;28000;PLN;
Data Engineer;AllSTARSIT;Senior;['Data', 'Python', 'Data engineering', 'Angielski (B2)'];['AI', 'Hadoop', 'ML', 'Quality control', 'AWS Cloud', 'MLOps', 'CI', 'CD', 'Machine learning', 'Data mining', 'pandas', 'scikit-learn', 'PyTorch', 'Docker'];Praca zdalna;data engineer;;;;Brak widełki
QA Engineer - Data Lake & Data Warehouse Solutions;Shiji Poland;Mid;['Testing', 'SQL', 'QA Automation', 'Docker', 'Angielski (B1)'];['Postman', 'C#', 'Swagger'];Praca zdalna;data engineer;10080;15960;PLN;
Data Engineer;AVENGA;Senior;['Data', 'Python', 'Databricks', 'Azure Data Factory', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;20100;26800;PLN;
Data Engineer;Ework Group;Senior;['Data', 'Python', 'Azure', 'Azure Data Factory', 'Azure Databricks', 'Spark', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;29088;32724;PLN;
Azure Data Engineer;C&F S.A.;Mid;['DevOps', 'Azure', 'DevOps', 'Git', 'Azure DevOps', 'Python', 'SQL', 'Angielski (C1)', 'Polski (C1)'];['Terraform', 'ARM'];Praca zdalna;data engineer;;;;Brak widełki
Data Ops Engineer;Winged IT;Senior;['DevOps', 'Linux', 'Kubernetes', 'TCP', 'Networking', 'Message queue', 'Kafka', 'MySQL', 'PostgreSQL', 'Aerospike Database', 'NoSQL', 'Angielski (B2)'];['Git', 'Hadoop', 'HDFS', 'Yarn', 'Hive', 'Spark', 'Jenkins', 'TeamCity', 'Ansible'];Warszawa;data engineer;25452;29088;PLN;
Remote Data Engineer;Kingfisher plc.;Mid;['Data', 'Python', 'AWS', 'Angielski (B2)', 'Polski'];['Data modelling', 'Storage', 'Azure Cloud'];Praca zdalna;data engineer;15000;19000;PLN;
Big Data Engineer IV;OpenX;Senior;['Backend', 'Scala', 'Cloud', 'Kubernetes', 'Java', 'Polski', 'Angielski'];['Docker', 'Spark', 'Jenkins', 'Hadoop', 'Data engineering', 'Python'];Praca zdalna;data engineer;30240;34944;PLN;
Data Engineer;Prime Engineering;Mid;['Data', 'Hadoop', 'Python', 'PySpark', 'Git', 'GitLab', 'Angielski'];Brak;Warszawa;data engineer;21000;25200;PLN;
Data Engineer with Microsoft Fabric;AVENGA;Mid;['Data', 'SQL', 'Python', 'Apache Spark', 'Databricks', 'Lakehouse Patterns', 'Medallion Architecture', 'Azure Data Services', 'Angielski (B2)', 'Polski (NATIVE)'];Brak;Praca zdalna;data engineer;20160;23520;PLN;
